image_path,wave_height,wind_speed,label
data/raw/images/train\calm\DSC_1623_FA_0_224x224.JPG,0.3571428571428571,0.4390243902439024,calm
data/raw/images/train\calm\DSC_1623_FA_0_224x224_HF.JPG,0.5000000000000001,0.3414634146341463,calm
data/raw/images/train\calm\DSC_1623_FA_0_224x224_HF_HM.JPG,0.5714285714285715,0.3170731707317073,calm
data/raw/images/train\calm\DSC_1623_FA_0_224x224_RGS.JPG,0.3571428571428571,0.4878048780487805,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224.JPG,0.4285714285714286,0.4390243902439024,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224_GN.JPG,0.2857142857142857,0.2439024390243902,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224_HF.JPG,0.7142857142857143,0.5365853658536586,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224_HF_GN.JPG,0.4285714285714286,0.0975609756097561,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224_HF_RGS.JPG,0.4285714285714286,0.4634146341463415,calm
data/raw/images/train\calm\DSC_1623_FA_100_224x224_RBC.JPG,0.4285714285714286,0.2682926829268293,calm
data/raw/images/train\calm\DSC_1623_FA_1040_224x224.JPG,0.4285714285714286,0.3658536585365853,calm
data/raw/images/train\calm\DSC_1623_FA_1040_224x224_HE.JPG,0.4285714285714286,0.1219512195121951,calm
data/raw/images/train\calm\DSC_1623_FA_1040_224x224_HF.JPG,0.4285714285714286,0.3902439024390244,calm
data/raw/images/train\calm\DSC_1623_FA_1040_224x224_HF_SSR.JPG,0.7857142857142857,0.926829268292683,calm
data/raw/images/train\calm\DSC_1623_FA_10_224x224.JPG,0.2142857142857143,0.1463414634146341,calm
data/raw/images/train\calm\DSC_1623_FA_10_224x224_GN.JPG,0.3571428571428571,0.1707317073170731,calm
data/raw/images/train\calm\DSC_1623_FA_10_224x224_HF.JPG,0.8571428571428572,0.1951219512195122,calm
data/raw/images/train\calm\DSC_1623_FA_10_224x224_HF_HM.JPG,0.1428571428571428,0.2195121951219512,calm
data/raw/images/train\calm\DSC_1623_FA_10_224x224_RBC.JPG,0.5000000000000001,0.2926829268292683,calm
